Characeter,"Date Type",Name,Description,"Date First Published"
hulk,comics,"What If? Classic Vol. 4 (2007)",,-0001-11-30T00:00:00-0500
hulk,comics,"Marvel Masterworks: Ant-Man/Giant-Man Vol. 1 (Hardcover)",,-0001-11-30T00:00:00-0500
hulk,comics,"Defenders: Indefensible (2005)",,-0001-11-30T00:00:00-0500
hulk,comics,"X-Men: The Complete Onslaught Epic Vol. 4 (2009)",,-0001-11-30T00:00:00-0500
hulk,comics,"Marvel Comics Presents (1988) #95",,-0001-11-30T00:00:00-0500
hulk,comics,"Infinity War (Trade Paperback)",,-0001-11-30T00:00:00-0500
hulk,comics,"Thanos Vol. 3: Marvel Universe - The End (2003)",,-0001-11-30T00:00:00-0500
hulk,comics,"Incredible Hulk (1962) #1","Witness the birth of the Jade Giant! The Hulk is the strangest man alive. Is he man or monster...or both?",1962-05-01T00:00:00-0400
hulk,comics,"Incredible Hulk (1962) #2","The Incredible Hulk in ""The Terror of the Toad Men!""",1962-07-01T00:00:00-0400
hulk,comics,"Incredible Hulk (1962) #3","See the Hulk banished to outer space, trapped by the Ringmaster, and other thrills with the everyone's favorite Jade Giant!",1962-09-01T00:00:00-0400
hulk,comics,"Incredible Hulk (1962) #4","The Incredible Hulk in two feature length thrills: ""The Monster and the Machine"" and ""Mongu! Gladiator From Space!""",1962-11-01T00:00:00-0500
hulk,comics,"Incredible Hulk (1962) #5","More powerful! More dangerous! More uncontrollable than ever before! Here comes The Hulk! See the Hulk rage in ""Beauty and the Beast!""",1963-01-10T00:00:00-0500
hulk,comics,"Incredible Hulk (1962) #6","If the Hulk can't handle the Metal Master, it could mean the end of the human race!",1963-03-10T00:00:00-0500
hulk,comics,"Avengers (1963) #1",,1963-09-10T00:00:00-0400
hulk,comics,"Avengers (1963) #2","One of the Avengers is not who he seems! An alien agitator fragments the team almost as soon as it's begun!",1963-11-10T00:00:00-0500
hulk,comics,"Avengers (1963) #3","Earth's mightiest heroes must face Marvel's mightiest malcontents: the Hulk and the Sub-Mariner, teaming up for the first time! Featuring the Fantastic Four and the X-Men!",1964-01-10T00:00:00-0500
hulk,comics,"Amazing Spider-Man (1963) #14","The first major battle between Spidey and his archnemesis, the Green Goblin!",1964-07-10T00:00:00-0400
hulk,comics,"Tales to Astonish (1959) #62",,1964-12-10T00:00:00-0500
hulk,comics,"Tales to Astonish (1959) #64",,1965-02-10T00:00:00-0500
hulk,comics,"Tales to Astonish (1959) #68",,1965-06-10T00:00:00-0400
hulk,comics,"Avengers (1963) #17","The trail suddenly heats up in the search for the Hulk! But can the Avengers trust the information they've received? And can they defeat the Minotaur that stands in their way?",1965-06-10T00:00:00-0400
hulk,comics,"Tales to Astonish (1959) #69",,1965-07-10T00:00:00-0400
hulk,comics,"Tales to Astonish (1959) #72",,1965-10-10T00:00:00-0400
hulk,comics,"Tales to Astonish (1959) #73",,1965-11-10T00:00:00-0500
hulk,comics,"Tales to Astonish (1959) #74",,1965-12-10T00:00:00-0500
hulk,comics,"Tales to Astonish (1959) #75","What will the Hulk do with the Watcher's Ultimate Machine?",1966-01-10T00:00:00-0500
hulk,comics,"Tales to Astonish (1959) #77",,1966-03-10T00:00:00-0500
hulk,comics,"Tales to Astonish (1959) #81",,1966-07-10T00:00:00-0400
hulk,comics,"Tales to Astonish (1959) #83",,1966-09-10T00:00:00-0400
hulk,comics,"Tales to Astonish (1959) #84",,1966-10-10T00:00:00-0400
hulk,comics,"Amazing Spider-Man Annual (1964) #3",,1966-11-03T00:00:00-0500
hulk,comics,"Tales to Astonish (1959) #85",,1966-11-10T00:00:00-0500
hulk,comics,"Tales to Astonish (1959) #91",,1967-05-10T00:00:00-0400
hulk,comics,"Tales to Astonish (1959) #97",,1967-11-10T00:00:00-0500
hulk,comics,"Tales to Astonish (1959) #100",,1968-02-10T00:00:00-0500
hulk,comics,"Tales to Astonish (1959) #101",,1968-03-10T00:00:00-0500
hulk,comics,"Incredible Hulk (1962) #102",,1968-04-01T00:00:00-0500
hulk,comics,"Uncanny X-Men (1963) #43","During a heist on the open seas, Magneto is confronted by the X-Men!",1968-04-10T00:00:00-0500
hulk,comics,"Avengers (1963) #51",,1968-04-10T00:00:00-0500
hulk,comics,"Incredible Hulk (1962) #103",,1968-05-01T00:00:00-0400
